year,plot,stake,species,abundance
1995,12,11,Amar palm,3
1995,7,51,Ambr arte,1
1995,7,51,Ambr arte,1
1995,9,15,Ambr arte,1
1995,9,15,Ambr arte,1
1995,5,33,Bail mult,1
1995,5,33,Bail mult,1
1995,6,15,Bail mult,1
1995,6,15,Bail mult,1
1995,6,73,Bail mult,1
1995,6,73,Bail mult,1
1995,8,55,Bail mult,1
1995,8,55,Bail mult,1
1995,9,17,Bail mult,1
1995,9,17,Bail mult,1
1995,1,13,Boer inte,2
1995,1,15,Boer inte,2
1995,1,17,Boer inte,2
1995,1,31,Boer inte,6
1995,1,35,Boer inte,1
1995,1,51,Boer inte,1
1995,2,31,Boer inte,3
1995,2,55,Boer inte,2
1995,2,73,Boer inte,1
1995,3,37,Boer inte,2
1995,5,37,Boer inte,1
1995,8,35,Boer inte,1
1995,8,71,Boer inte,2
1995,12,37,Boer inte,2
1995,16,33,Boer inte,1
1995,16,51,Boer inte,1
1995,18,77,Boer inte,1
1995,19,11,Boer inte,1
1995,19,13,Boer inte,1
1995,19,17,Boer inte,3
1995,19,31,Boer inte,2
1995,19,35,Boer inte,1
1995,20,55,Boer inte,2
1995,21,33,Boer inte,1
1995,21,51,Boer inte,1
1995,21,73,Boer inte,3
1995,22,13,Boer inte,2
1995,22,17,Boer inte,1
1995,22,35,Boer inte,1
1995,22,37,Boer inte,1
1995,22,71,Boer inte,12
1995,22,73,Boer inte,2
1995,23,33,Boer inte,1
1995,23,37,Boer inte,1
1995,1,31,Boer cout,1
1995,1,71,Boer cout,2
1995,1,17,Bout aris,1
1995,1,31,Bout aris,1
1995,2,31,Bout aris,2
1995,3,17,Bout aris,2
1995,3,51,Bout aris,2
1995,4,11,Bout aris,1
1995,5,33,Bout aris,1
1995,5,75,Bout aris,3
1995,16,31,Bout aris,3
1995,16,33,Bout aris,1
1995,16,37,Bout aris,5
1995,16,53,Bout aris,1
1995,20,11,Bout aris,2
1995,20,55,Bout aris,1
1995,22,35,Bout aris,1
1995,22,57,Bout aris,1
1995,22,75,Bout aris,1
1995,23,73,Bout aris,1
1995,2,13,Bout barb,1
1995,14,17,Bout barb,1
1995,16,15,Bout barb,1
1995,3,15,Chen frem,2
1995,3,15,Chen frem,2
1995,3,31,Chen frem,1
1995,3,31,Chen frem,1
1995,4,33,Chen frem,1
1995,4,33,Chen frem,1
1995,4,55,Chen frem,1
1995,4,55,Chen frem,1
1995,5,73,Chen frem,2
1995,5,73,Chen frem,2
1995,6,33,Chen frem,1
1995,6,33,Chen frem,1
1995,6,37,Chen frem,1
1995,6,37,Chen frem,1
1995,6,51,Chen frem,5
1995,6,51,Chen frem,5
1995,6,53,Chen frem,1
1995,6,53,Chen frem,1
1995,6,55,Chen frem,2
1995,6,55,Chen frem,2
1995,6,57,Chen frem,3
1995,6,57,Chen frem,3
1995,10,11,Chen frem,2
1995,10,11,Chen frem,2
1995,10,15,Chen frem,1
1995,10,15,Chen frem,1
1995,13,71,Chen frem,1
1995,13,71,Chen frem,1
1995,15,51,Chen frem,1
1995,15,51,Chen frem,1
1995,20,77,Chen frem,1
1995,20,77,Chen frem,1
1995,21,53,Chen frem,1
1995,21,53,Chen frem,1
1995,23,53,Chen frem,2
1995,23,53,Chen frem,2
1995,24,15,Chen frem,1
1995,24,15,Chen frem,1
1995,1,73,Crot pumi,1
1995,2,11,Crot pumi,1
1995,8,33,Crot pumi,3
1995,16,33,Crot pumi,3
1995,23,33,Crot pumi,1
1995,22,71,Erig dive,3
1995,22,71,Erig dive,3
1995,1,15,Erio aber,2
1995,1,15,Erio aber,2
1995,1,31,Erio aber,1
1995,1,31,Erio aber,1
1995,1,33,Erio aber,10
1995,1,33,Erio aber,10
1995,1,35,Erio aber,2
1995,1,35,Erio aber,2
1995,1,37,Erio aber,2
1995,1,37,Erio aber,2
1995,1,51,Erio aber,6
1995,1,51,Erio aber,6
1995,1,53,Erio aber,6
1995,1,53,Erio aber,6
1995,1,55,Erio aber,3
1995,1,55,Erio aber,3
1995,1,57,Erio aber,1
1995,1,57,Erio aber,1
1995,1,71,Erio aber,5
1995,1,71,Erio aber,5
1995,1,75,Erio aber,5
1995,1,75,Erio aber,5
1995,1,77,Erio aber,4
1995,1,77,Erio aber,4
1995,2,13,Erio aber,1
1995,2,13,Erio aber,1
1995,2,17,Erio aber,11
1995,2,17,Erio aber,11
1995,2,31,Erio aber,1
1995,2,31,Erio aber,1
1995,2,35,Erio aber,3
1995,2,35,Erio aber,3
1995,2,37,Erio aber,5
1995,2,37,Erio aber,5
1995,2,53,Erio aber,1
1995,2,53,Erio aber,1
1995,2,73,Erio aber,2
1995,2,73,Erio aber,2
1995,2,75,Erio aber,2
1995,2,75,Erio aber,2
1995,3,11,Erio aber,7
1995,3,11,Erio aber,7
1995,3,15,Erio aber,7
1995,3,15,Erio aber,7
1995,3,33,Erio aber,1
1995,3,33,Erio aber,1
1995,3,35,Erio aber,3
1995,3,35,Erio aber,3
1995,3,55,Erio aber,1
1995,3,55,Erio aber,1
1995,3,71,Erio aber,2
1995,3,71,Erio aber,2
1995,3,77,Erio aber,2
1995,3,77,Erio aber,2
1995,4,13,Erio aber,8
1995,4,13,Erio aber,8
