year,plot,stake,species,abundance
1995,1,15,Ambr arte,3
1995,1,15,Ambr arte,3
1995,9,15,Ambr arte,4
1995,9,15,Ambr arte,4
1995,12,11,Ambr arte,4
1995,12,11,Ambr arte,4
1995,12,55,Ambr arte,1
1995,12,55,Ambr arte,1
1995,19,11,Ambr arte,1
1995,19,11,Ambr arte,1
1995,24,15,Ambr arte,2
1995,24,15,Ambr arte,2
1995,1,11,Astr allo,1
1995,1,13,Astr allo,1
1995,1,17,Astr allo,1
1995,1,37,Astr allo,2
1995,1,57,Astr allo,1
1995,1,77,Astr allo,1
1995,2,13,Astr allo,1
1995,2,15,Astr allo,1
1995,2,55,Astr allo,3
1995,4,11,Astr allo,1
1995,4,33,Astr allo,1
1995,5,17,Astr allo,1
1995,5,31,Astr allo,4
1995,5,37,Astr allo,1
1995,5,77,Astr allo,1
1995,6,31,Astr allo,1
1995,6,33,Astr allo,1
1995,6,35,Astr allo,1
1995,6,71,Astr allo,1
1995,6,77,Astr allo,1
1995,7,77,Astr allo,2
1995,8,31,Astr allo,1
1995,8,71,Astr allo,2
1995,10,11,Astr allo,2
1995,10,51,Astr allo,1
1995,10,57,Astr allo,1
1995,12,73,Astr allo,1
1995,13,11,Astr allo,1
1995,13,17,Astr allo,3
1995,13,33,Astr allo,1
1995,15,11,Astr allo,1
1995,18,11,Astr allo,2
1995,18,37,Astr allo,1
1995,18,51,Astr allo,1
1995,19,17,Astr allo,1
1995,20,13,Astr allo,1
1995,20,35,Astr allo,1
1995,20,55,Astr allo,2
1995,21,71,Astr allo,2
1995,22,57,Astr allo,2
1995,23,17,Astr allo,1
1995,24,31,Astr allo,1
1995,24,35,Astr allo,1
1995,1,17,Astr nutt,1
1995,1,37,Astr nutt,1
1995,1,55,Astr nutt,1
1995,2,11,Astr nutt,1
1995,2,33,Astr nutt,2
1995,2,53,Astr nutt,2
1995,2,55,Astr nutt,4
1995,2,73,Astr nutt,1
1995,2,75,Astr nutt,1
1995,3,15,Astr nutt,48
1995,3,17,Astr nutt,31
1995,3,33,Astr nutt,5
1995,3,35,Astr nutt,76
1995,3,53,Astr nutt,5
1995,3,55,Astr nutt,34
1995,3,57,Astr nutt,141
1995,3,71,Astr nutt,2
1995,3,73,Astr nutt,2
1995,3,75,Astr nutt,58
1995,3,77,Astr nutt,1
1995,4,11,Astr nutt,2
1995,4,13,Astr nutt,5
1995,4,15,Astr nutt,3
1995,4,17,Astr nutt,21
1995,4,31,Astr nutt,5
1995,4,33,Astr nutt,4
1995,4,35,Astr nutt,11
1995,4,37,Astr nutt,7
1995,4,51,Astr nutt,1
1995,4,55,Astr nutt,18
1995,4,57,Astr nutt,1
1995,4,75,Astr nutt,5
1995,4,77,Astr nutt,22
1995,5,11,Astr nutt,4
1995,5,13,Astr nutt,7
1995,5,15,Astr nutt,1
1995,5,17,Astr nutt,3
1995,5,31,Astr nutt,21
1995,5,33,Astr nutt,18
1995,5,35,Astr nutt,4
1995,5,37,Astr nutt,31
1995,5,51,Astr nutt,35
1995,5,53,Astr nutt,140
1995,5,55,Astr nutt,16
1995,5,57,Astr nutt,30
1995,5,71,Astr nutt,1
1995,5,73,Astr nutt,9
1995,5,75,Astr nutt,127
1995,5,77,Astr nutt,3
1995,6,11,Astr nutt,1
1995,6,13,Astr nutt,9
1995,6,15,Astr nutt,1
1995,6,17,Astr nutt,3
1995,6,33,Astr nutt,35
1995,6,35,Astr nutt,76
1995,6,37,Astr nutt,3
1995,6,55,Astr nutt,1
1995,6,57,Astr nutt,3
1995,6,75,Astr nutt,2
1995,6,77,Astr nutt,1
1995,7,11,Astr nutt,4
1995,7,13,Astr nutt,1
1995,7,15,Astr nutt,19
1995,7,17,Astr nutt,124
1995,7,31,Astr nutt,36
1995,7,33,Astr nutt,106
1995,7,35,Astr nutt,75
1995,7,37,Astr nutt,4
1995,7,51,Astr nutt,113
1995,7,53,Astr nutt,82
1995,7,55,Astr nutt,3
1995,7,57,Astr nutt,110
1995,7,71,Astr nutt,22
1995,7,73,Astr nutt,51
1995,7,75,Astr nutt,26
1995,7,77,Astr nutt,4
1995,8,37,Astr nutt,1
1995,8,57,Astr nutt,1
1995,8,71,Astr nutt,5
1995,8,75,Astr nutt,1
1995,8,77,Astr nutt,5
1995,9,17,Astr nutt,1
1995,9,31,Astr nutt,1
1995,10,11,Astr nutt,287
1995,10,13,Astr nutt,29
1995,10,15,Astr nutt,16
1995,10,17,Astr nutt,13
1995,10,31,Astr nutt,83
1995,10,33,Astr nutt,170
1995,10,35,Astr nutt,18
1995,10,37,Astr nutt,241
1995,10,51,Astr nutt,74
1995,10,53,Astr nutt,33
1995,10,55,Astr nutt,28
1995,10,57,Astr nutt,2
1995,10,71,Astr nutt,241
1995,10,73,Astr nutt,125
1995,10,75,Astr nutt,6
1995,10,77,Astr nutt,4
1995,11,37,Astr nutt,1
1995,11,51,Astr nutt,2
1995,11,53,Astr nutt,1
1995,11,55,Astr nutt,1
1995,11,57,Astr nutt,1
1995,11,77,Astr nutt,1
1995,12,31,Astr nutt,1
1995,12,37,Astr nutt,1
1995,12,71,Astr nutt,1
1995,13,13,Astr nutt,34
1995,13,17,Astr nutt,2
1995,13,31,Astr nutt,1
1995,13,33,Astr nutt,3
1995,13,51,Astr nutt,4
1995,13,53,Astr nutt,26
1995,13,55,Astr nutt,14
1995,13,77,Astr nutt,10
1995,14,11,Astr nutt,1
1995,14,17,Astr nutt,2
1995,14,75,Astr nutt,1
1995,15,11,Astr nutt,253
1995,15,13,Astr nutt,53
1995,15,15,Astr nutt,1
1995,15,17,Astr nutt,92
1995,15,31,Astr nutt,39
1995,15,35,Astr nutt,19
1995,15,37,Astr nutt,183
1995,15,51,Astr nutt,21
1995,15,53,Astr nutt,177
1995,15,55,Astr nutt,69
1995,15,57,Astr nutt,2
1995,15,71,Astr nutt,39
1995,15,73,Astr nutt,13
1995,15,75,Astr nutt,15
1995,15,77,Astr nutt,40
1995,16,11,Astr nutt,242
1995,16,13,Astr nutt,59
1995,16,15,Astr nutt,53
1995,16,17,Astr nutt,62
1995,16,31,Astr nutt,213
1995,16,33,Astr nutt,188
1995,16,35,Astr nutt,67
1995,16,37,Astr nutt,205
1995,16,51,Astr nutt,165
1995,16,53,Astr nutt,73
1995,16,55,Astr nutt,376
1995,16,57,Astr nutt,58
1995,16,73,Astr nutt,37
1995,16,75,Astr nutt,13
1995,16,77,Astr nutt,194
1995,17,11,Astr nutt,41
1995,17,13,Astr nutt,61
1995,17,15,Astr nutt,133
1995,17,17,Astr nutt,47
1995,17,31,Astr nutt,4
1995,17,33,Astr nutt,8
1995,17,35,Astr nutt,14
1995,17,37,Astr nutt,38
1995,17,51,Astr nutt,7
1995,17,53,Astr nutt,4
1995,17,55,Astr nutt,3
1995,17,71,Astr nutt,1
1995,17,73,Astr nutt,10
1995,17,75,Astr nutt,2
1995,17,77,Astr nutt,1
1995,18,11,Astr nutt,3
1995,19,11,Astr nutt,25
1995,19,13,Astr nutt,94
1995,19,15,Astr nutt,63
1995,19,17,Astr nutt,54
1995,19,31,Astr nutt,41
1995,19,33,Astr nutt,62
1995,19,35,Astr nutt,35
1995,19,37,Astr nutt,34
1995,19,51,Astr nutt,138
1995,19,53,Astr nutt,23
1995,19,55,Astr nutt,6
1995,19,75,Astr nutt,9
1995,19,77,Astr nutt,17
1995,20,11,Astr nutt,1
1995,20,17,Astr nutt,1
1995,20,51,Astr nutt,4
1995,20,55,Astr nutt,21
1995,20,57,Astr nutt,8
1995,20,71,Astr nutt,4
1995,20,73,Astr nutt,13
1995,20,75,Astr nutt,3
1995,21,11,Astr nutt,35
1995,21,15,Astr nutt,20
1995,21,17,Astr nutt,194
1995,21,31,Astr nutt,82
1995,21,33,Astr nutt,33
1995,21,35,Astr nutt,1
1995,21,37,Astr nutt,41
1995,21,51,Astr nutt,6
1995,21,53,Astr nutt,20
1995,21,55,Astr nutt,203
1995,21,57,Astr nutt,187
1995,21,71,Astr nutt,1
1995,21,75,Astr nutt,17
1995,21,77,Astr nutt,79
1995,22,17,Astr nutt,2
1995,23,11,Astr nutt,26
1995,23,13,Astr nutt,91
1995,23,15,Astr nutt,9
1995,23,17,Astr nutt,87
1995,23,31,Astr nutt,59
1995,23,33,Astr nutt,350
1995,23,35,Astr nutt,121
1995,23,37,Astr nutt,52
1995,23,51,Astr nutt,7
1995,23,53,Astr nutt,301
1995,23,55,Astr nutt,277
1995,23,57,Astr nutt,24
1995,23,71,Astr nutt,143
1995,23,73,Astr nutt,204
1995,23,75,Astr nutt,31
1995,23,77,Astr nutt,34
1995,24,15,Astr nutt,2
1995,24,33,Astr nutt,31
1995,24,35,Astr nutt,3
1995,24,37,Astr nutt,35
1995,24,51,Astr nutt,58
1995,24,53,Astr nutt,6
1995,24,55,Astr nutt,4
1995,24,57,Astr nutt,67
1995,24,71,Astr nutt,10
1995,24,75,Astr nutt,24
1995,24,77,Astr nutt,2
1995,1,37,Bail mult,1
1995,1,37,Bail mult,1
1995,1,57,Bail mult,1
1995,1,57,Bail mult,1
1995,4,17,Bail mult,2
1995,4,17,Bail mult,2
1995,4,37,Bail mult,1
1995,4,37,Bail mult,1
1995,5,33,Bail mult,1
1995,5,33,Bail mult,1
1995,5,51,Bail mult,1
1995,5,51,Bail mult,1
1995,6,33,Bail mult,1
1995,6,33,Bail mult,1
1995,6,73,Bail mult,1
1995,6,73,Bail mult,1
1995,7,57,Bail mult,2
1995,7,57,Bail mult,2
1995,7,73,Bail mult,1
1995,7,73,Bail mult,1
1995,8,51,Bail mult,1
1995,8,51,Bail mult,1
1995,8,55,Bail mult,1
1995,8,55,Bail mult,1
1995,9,17,Bail mult,1
1995,9,17,Bail mult,1
1995,9,53,Bail mult,2
1995,9,53,Bail mult,2
1995,13,13,Bail mult,1
1995,13,13,Bail mult,1
1995,13,37,Bail mult,1
1995,13,37,Bail mult,1
1995,13,57,Bail mult,1
1995,13,57,Bail mult,1
1995,13,71,Bail mult,2
1995,13,71,Bail mult,2
1995,13,77,Bail mult,1
1995,13,77,Bail mult,1
1995,14,57,Bail mult,1
1995,14,57,Bail mult,1
